iter	Accuracy	MultiClass
0	0.8153317152	1.068255959
1	0.8208434466	1.03826421
2	0.8227649676	1.009617306
3	0.8197815534	0.9845494361
4	0.8218042071	0.9614064938
5	0.824433657	0.9387443777
6	0.8236245955	0.9179899203
7	0.8230177994	0.8963024421
8	0.8243325243	0.8779398668
9	0.824888754	0.8597668378
10	0.8250910194	0.8437318968
11	0.8248381877	0.8274102156
12	0.8248381877	0.8113080415
13	0.8253438511	0.7955256099
14	0.8244842233	0.7808903466
15	0.824888754	0.7678016223
16	0.8252932848	0.7546765636
17	0.8249898867	0.7421080665
18	0.8251415858	0.7300408908
19	0.8247876214	0.7190305366
20	0.8251921521	0.7084605566
21	0.8253944175	0.6983003461
22	0.8260517799	0.687934677
23	0.826203479	0.6785093262
24	0.8264563107	0.6698382184
25	0.8267597087	0.6611037962
26	0.8271642395	0.6521725575
27	0.8277710356	0.6439670966
28	0.8278721683	0.6365561152
29	0.8277204693	0.6284044747
30	0.8279227346	0.6210069322
31	0.8285800971	0.6142454723
32	0.8289340615	0.6080700526
33	0.8292374595	0.6015010353
34	0.8292880259	0.5950675744
35	0.8292880259	0.5890216401
36	0.829743123	0.5829642885
37	0.8301982201	0.5775251694
38	0.8303499191	0.5717605124
39	0.8299959547	0.5664069635
40	0.829894822	0.5609538785
41	0.8299453883	0.5561292966
42	0.8299453883	0.5517290129
43	0.830046521	0.5472043574
44	0.8305016181	0.5429598445
45	0.830046521	0.5385651832
46	0.8304510518	0.5341090414
47	0.8307544498	0.5294925247
48	0.8308050162	0.5258788584
49	0.8306027508	0.5222795985
50	0.8310578479	0.5185899611
51	0.8311589806	0.5147644881
52	0.8318669094	0.5112169777
53	0.831816343	0.507962281
54	0.8315635113	0.5050666367
55	0.8317152104	0.5020265476
56	0.8320186084	0.499399075
57	0.8319680421	0.496639912
58	0.8320691748	0.4933386713
59	0.8319680421	0.4904798973
60	0.8324231392	0.4876235877
61	0.8326254045	0.4848932469
62	0.833131068	0.4820246572
63	0.8332322006	0.4797327025
64	0.8337378641	0.4772750375
65	0.833586165	0.4748088818
66	0.8338389968	0.4726303348
67	0.8340918285	0.4702475171
68	0.8343446602	0.4677856436
69	0.8345469256	0.465628164
70	0.8349514563	0.4635693094
71	0.8351031553	0.4612079317
72	0.83490089	0.4594244425
73	0.8351537217	0.4575650454
74	0.8356088188	0.4557605513
75	0.8358110841	0.4538131067
76	0.8359627832	0.4517906095
77	0.8359122168	0.4501845593
78	0.8363167476	0.4482140137
79	0.8365190129	0.4465269834
80	0.8365695793	0.4446936963
81	0.8366201456	0.4429408645
82	0.836670712	0.4412692311
83	0.836670712	0.4398034725
84	0.83697411	0.4383660645
85	0.8367718447	0.4369097524
86	0.8371258091	0.4353490888
87	0.8372775081	0.433686636
88	0.8376314725	0.4324078702
89	0.8378843042	0.4310387371
90	0.8384911003	0.4297743672
91	0.8383899676	0.4285392467
92	0.838743932	0.4273958853
93	0.838743932	0.4261588295
94	0.8388450647	0.4248590028
95	0.8388956311	0.4237398523
96	0.8391484628	0.4222868461
97	0.8395024272	0.4209270184
98	0.8395529935	0.4199079455
99	0.8396035599	0.4186897128
100	0.8399069579	0.4173904376
101	0.8399575243	0.4160720101
102	0.8400080906	0.4149409773
103	0.8403114887	0.4139207201
104	0.8404631877	0.4127493981
105	0.8401597896	0.4116471354
106	0.8406148867	0.4107135346
107	0.8401597896	0.4097927423
108	0.8404126214	0.4087908742
109	0.8405643204	0.407768659
110	0.8406148867	0.406853138
111	0.8411711165	0.406138837
112	0.8410699838	0.4052241831
113	0.8410699838	0.4044620051
114	0.8410194175	0.4035587816
115	0.8410194175	0.4026134646
116	0.8411205502	0.4017350715
117	0.8413733819	0.4008444763
118	0.8412722492	0.4000858474
119	0.8415250809	0.3993513146
120	0.8416767799	0.3986797097
121	0.8417779126	0.3979066799
122	0.8420813107	0.3972013239
123	0.8423341424	0.3964922419
124	0.8423341424	0.3955941423
125	0.8424352751	0.3949080299
126	0.8423847087	0.3942640976
127	0.8423341424	0.3935515971
128	0.8426375405	0.3928040275
129	0.8423847087	0.3921741421
130	0.8425869741	0.3914366224
131	0.8426881068	0.3906087956
132	0.8427892395	0.3899427655
133	0.8426375405	0.3892146183
134	0.8428903722	0.3885616601
135	0.8431432039	0.387949039
136	0.8433960356	0.3872406452
137	0.8432443366	0.3866343467
138	0.8432949029	0.386037061
139	0.8435477346	0.3855023086
140	0.8436488673	0.384938639
141	0.8436994337	0.3843284756
142	0.84375	0.3837186681
143	0.8438511327	0.3832142591
144	0.8439522654	0.3826657391
145	0.8436488673	0.3820977503
146	0.8438005663	0.3815726849
147	0.8444073625	0.3810488956
148	0.8441039644	0.3804934235
149	0.8441545307	0.3800281112
150	0.8444579288	0.3794622313
151	0.8445084951	0.3789872176
152	0.8447107605	0.3784960893
153	0.8444579288	0.3779019406
154	0.8446601942	0.377525574
155	0.8444579288	0.3770140403
156	0.8447107605	0.3766172538
157	0.8448624595	0.376207227
158	0.8450141586	0.3757421346
159	0.8449635922	0.3754145088
160	0.8450141586	0.3749573185
161	0.8451658576	0.3744713881
162	0.8452164239	0.3740539732
163	0.8453175566	0.3736449302
164	0.8451658576	0.3733480105
165	0.845368123	0.3729675057
166	0.8457726537	0.3725072381
167	0.8458232201	0.3721102655
168	0.8458737864	0.3717192773
169	0.8460254854	0.3713812579
170	0.8461266181	0.3710071187
171	0.8461771845	0.3706032613
172	0.8463794498	0.3702521633
173	0.8464300162	0.3698765542
174	0.8464805825	0.3694891332
175	0.8465817152	0.369079719
176	0.8463794498	0.368736822
177	0.8465817152	0.3683420774
178	0.8467334142	0.3678831032
179	0.8467334142	0.3674980091
180	0.8468851133	0.3671719617
181	0.846986246	0.3667872828
182	0.846986246	0.3664729192
183	0.8473402104	0.3661467158
184	0.847441343	0.3657417228
185	0.847441343	0.3654863127
186	0.8475424757	0.3651795782
187	0.8477447411	0.3648361531
188	0.8477953074	0.3645745653
189	0.8478458738	0.3642417554
190	0.8481998382	0.3638897575
191	0.8482504045	0.3636662706
192	0.8482504045	0.3633125571
193	0.8485032362	0.3630284221
194	0.8484021036	0.3627519228
195	0.848756068	0.3625130225
196	0.8490088997	0.3622601831
197	0.8490088997	0.3620141025
198	0.8488572006	0.3616618432
199	0.8494639968	0.3613314589
200	0.8494134304	0.3611207234
201	0.8494134304	0.3608523384
202	0.8495651294	0.3605046781
203	0.8497168285	0.3602568509
204	0.8500202265	0.3599638549
205	0.8502224919	0.3596097039
206	0.8503741909	0.3593286384
207	0.8501213592	0.3591131317
208	0.8503236246	0.3588049056
209	0.8504753236	0.3585121721
210	0.850677589	0.3582516753
211	0.850677589	0.3578933336
212	0.8508798544	0.3576308158
213	0.8507787217	0.3573240293
214	0.8505764563	0.3570236209
215	0.8507281553	0.3567234899
216	0.8505764563	0.3564989434
217	0.850677589	0.3562512233
218	0.8508798544	0.3559695061
219	0.8510315534	0.3557184219
220	0.8510821197	0.3554676589
221	0.8509304207	0.3551762826
222	0.8509304207	0.354989847
223	0.8509304207	0.3547353141
224	0.8510821197	0.3544834796
225	0.8511832524	0.3542238065
226	0.8513855178	0.3539911137
227	0.8513855178	0.3536962331
228	0.8514360841	0.3534840374
229	0.8515877832	0.3532222023
230	0.8514866505	0.3529897809
231	0.8514866505	0.3528298709
232	0.8514866505	0.3525886755
233	0.8516383495	0.3523770233
234	0.8517394822	0.3521334023
235	0.8516889159	0.3518019212
236	0.8518406149	0.3515395878
237	0.8518911812	0.351293183
238	0.8519417476	0.351094896
239	0.8519417476	0.3508225897
240	0.852295712	0.3505946697
241	0.8521440129	0.3504147806
242	0.8523462783	0.3501968974
243	0.8520934466	0.3500234935
244	0.8520934466	0.3497840355
245	0.8521440129	0.3495706928
246	0.8521945793	0.3493407752
247	0.852447411	0.3491277637
248	0.852447411	0.3488465658
249	0.852295712	0.3485558247
250	0.8524979773	0.3483336649
251	0.8528013754	0.3480941288
252	0.8530542071	0.3478049732
253	0.8531553398	0.347562026
254	0.8533070388	0.3473405395
255	0.8534081715	0.3471961839
256	0.8535093042	0.3469973969
257	0.8535598706	0.346788361
258	0.8536610032	0.3464754375
259	0.8537115696	0.3462834002
260	0.8539644013	0.3461054442
261	0.8538632686	0.3458706534
262	0.854217233	0.3455759089
263	0.8545206311	0.3453544788
264	0.8546217638	0.3451541663
265	0.8545711974	0.3448950243
266	0.8546723301	0.3446789161
267	0.8548240291	0.3444322474
268	0.8548240291	0.34424117
269	0.8550262945	0.3440348798
270	0.8552285599	0.3438501279
271	0.8550768608	0.3436973064
272	0.8550768608	0.3434595429
273	0.8554813916	0.3432556578
274	0.8554308252	0.343042477
275	0.8553802589	0.3428088779
276	0.8553802589	0.3425741574
277	0.8554308252	0.342399948
278	0.8552285599	0.3421294212
279	0.8554813916	0.3419210033
280	0.855835356	0.341698779
281	0.8557342233	0.3414653985
282	0.8560881877	0.3411753299
283	0.8562904531	0.3409741551
