iter	Passed	Remaining
0	3	5279
1	6	4882
2	9	4836
3	13	4962
4	16	4959
5	20	5052
6	23	4918
7	26	4918
8	29	4881
9	32	4802
10	35	4772
11	38	4741
12	41	4690
13	43	4642
14	46	4599
15	49	4597
16	52	4572
17	55	4570
18	58	4538
19	61	4519
20	64	4509
21	66	4501
22	69	4489
23	72	4473
24	75	4453
25	78	4451
26	81	4459
27	84	4457
28	87	4450
29	90	4451
30	93	4446
31	97	4451
32	99	4442
33	102	4438
34	105	4432
35	108	4425
36	111	4421
37	114	4417
38	118	4422
39	120	4414
40	123	4409
41	126	4401
42	129	4387
43	132	4383
44	135	4380
45	138	4371
46	140	4357
47	143	4343
48	146	4346
49	150	4356
50	153	4369
51	156	4365
52	159	4366
53	162	4363
54	165	4354
55	168	4354
56	171	4351
57	174	4341
58	177	4339
59	180	4334
60	183	4333
61	186	4327
62	189	4327
63	192	4326
64	195	4320
65	198	4315
66	201	4312
67	204	4311
68	207	4310
69	210	4305
70	213	4304
71	217	4306
72	220	4302
73	222	4296
74	225	4289
75	228	4285
76	231	4269
77	233	4249
78	235	4235
79	237	4217
80	239	4201
81	241	4184
82	244	4170
83	246	4156
84	248	4142
85	251	4131
86	253	4120
87	255	4107
88	258	4093
89	260	4080
90	262	4071
91	265	4062
92	267	4048
93	269	4034
94	271	4021
95	274	4009
96	276	3999
97	278	3989
98	281	3981
99	283	3971
100	286	3966
101	288	3956
102	290	3946
103	293	3939
104	295	3928
105	297	3917
106	300	3909
107	302	3901
108	305	3892
109	307	3883
110	309	3873
111	311	3863
112	314	3856
113	316	3847
114	318	3838
115	321	3830
116	323	3821
117	325	3813
118	328	3806
119	330	3796
120	332	3788
121	334	3781
122	337	3773
123	339	3766
124	341	3757
125	343	3749
126	346	3742
127	348	3735
128	350	3729
129	353	3722
130	355	3715
131	357	3708
132	360	3701
133	362	3696
134	364	3690
135	367	3683
136	369	3677
137	371	3669
138	374	3663
139	376	3655
140	378	3647
141	380	3640
142	382	3634
143	385	3626
144	387	3620
145	389	3614
146	391	3607
147	394	3602
148	396	3595
149	398	3590
150	401	3584
151	403	3579
152	406	3575
153	408	3568
154	410	3563
155	412	3557
